#timestamp tx ty tz qx qy qz qw
1565871220.8464732170 -0.3587189718987783 5.64291671034031 -1.008067303430769 -0.6639882824489951 -0.20769597915717253 0.7179545841660269 0.022872605609419224
1565871220.8566846848 -0.3586496112344796 5.642900334996468 -1.0082289098184514 -0.663992858461928 -0.20767789187250288 0.7179560848644443 0.022856888350555882
1565871220.8665523529 -0.3585997969245784 5.642964517019116 -1.0082315971194618 -0.6639903956863537 -0.2076856240687631 0.7179557554839593 0.022868518948644757
1565871220.8767008781 -0.35856546290625446 5.6429744372503015 -1.0084552060130285 -0.6639956423233757 -0.2076694669338964 0.7179561358611123 0.02285096186900433
1565871220.8864703178 -0.358502770598968 5.64298166008809 -1.008325391818483 -0.6639946728787393 -0.20768331632130116 0.7179524695842311 0.022868448315222698
1565871220.8966848850 -0.3585646469320994 5.642984330713671 -1.0085460842118652 -0.663993230122562 -0.20767756411236843 0.7179562084894571 0.022845183457411527
1565871220.9064779282 -0.35849763012577507 5.642991132825826 -1.008475406607547 -0.66398948539632 -0.20768574658788377 0.7179569138312359 0.02285746769198776
1565871220.9166707993 -0.3584444361948935 5.643029437568032 -1.0085776153381232 -0.6639917785492506 -0.2076834041545716 0.7179554514183243 0.022858071582741064
1565871220.9264817238 -0.3584235516996207 5.643010940222866 -1.0086880141487906 -0.6639957575131942 -0.20767187349849386 0.7179556215731985 0.022841900392626728
1565871220.9366838932 -0.3583709701198148 5.643062585701991 -1.008684558212198 -0.6639933561401526 -0.2076818875097338 0.7179544999388662 0.022855909950451996
1565871220.9464709759 -0.35832454087143933 5.642969930775699 -1.0087189725495411 -0.6639847925016291 -0.20768573405054588 0.7179616028637837 0.02284661926238641
1565871220.9566674232 -0.3582707781995789 5.64297826154517 -1.008651090123171 -0.6639805417412582 -0.2076957533114733 0.7179622951834453 0.022857316996615144
1565871220.9664695263 -0.3582170406953351 5.6429627290557445 -1.0086468274440747 -0.6639825423732422 -0.2076958065351903 0.717960448163041 0.02285673302960294
1565871220.9767031670 -0.3581556054467898 5.642990891475277 -1.0088552768879038 -0.6639853468859853 -0.20767844926156176 0.7179633425606976 0.022842057089503945
1565871220.9864838123 -0.35806796033154464 5.643015413705075 -1.0088552422875268 -0.663977778610461 -0.2076818070831829 0.7179690001486326 0.022853694313029364
1565871220.9966681004 -0.3580249978728483 5.642938431129935 -1.008768726170411 -0.6639722038525228 -0.20769169574173157 0.7179708311545893 0.022868267147622825
1565871221.0064809322 -0.35793185705766145 5.642921937727696 -1.0087152590083905 -0.6639729541958977 -0.2076927874885435 0.7179695748531825 0.022876007229203816
1565871221.0166912079 -0.3578670220467994 5.642923905616053 -1.0087445239487673 -0.6639789612337136 -0.20769207865654357 0.7179641765328512 0.022877515551895714
1565871221.0264704227 -0.3577934377028211 5.6429744300157285 -1.008860287454072 -0.6639832173558843 -0.20768741382452344 0.7179615511219252 0.022878730716721824
1565871221.0366671085 -0.3577172548835327 5.642990500667023 -1.0088218656681514 -0.6639780439187754 -0.20769244138030765 0.7179645789222682 0.022888215313860375
