# timestamp tx ty tz qx qy qz qw
13117.3864647 -10.5423438997 2.38171432332 -11.3810437659 0.0500760604331, 0.328509357653 -0.133888572029 -0.933620822597
13117.4064636 -10.5422199237 2.38218571212 -11.3810076633 0.0500616454098, 0.32851419875 -0.133873997048 -0.933621982278
13117.4064636 -10.5422199237 2.38218571212 -11.3810076633 0.0500616454098, 0.32851419875 -0.133873997048 -0.933621982278
13117.4264658 -10.541618408 2.38191422753 -11.381606221 0.0500685403293, 0.328541205741 -0.1338838492 -0.933610696341
13117.4366824 -10.5422580074 2.38227820099 -11.380650792 0.0500656097391, 0.328497164584 -0.133871790864 -0.933628079694
13117.4464651 -10.5421147072 2.38232941398 -11.3807421149 0.0500657418885, 0.328508466614 -0.133870001303 -0.933624352512
13117.4464651 -10.5421147072 2.38232941398 -11.3807421149 0.0500657418885, 0.328508466614 -0.133870001303 -0.933624352512
13117.4664652 -10.5426886339 2.38231267129 -11.3801412932 0.0500606926323, 0.32847756736 -0.133873682926 -0.933634967112
13117.4766823 -10.54221847 2.38230838568 -11.3805455565 0.0500627363478, 0.3285012483 -0.133873750923 -0.933626515856
13117.4864618 -10.5418103933 2.38249004922 -11.3807223184 0.0500699071673, 0.328517203912 -0.133861000808 -0.933622345273
13117.4966671 -10.5426553745 2.38246568915 -11.3798828676 0.0500681166933, 0.328476026627 -0.133862929354 -0.933636652969
13117.5064658 -10.5417204595 2.38253296092 -11.3807112328 0.0500690690013, 0.328519626495 -0.133860506556 -0.933621608641
13117.5064658 -10.5417204595 2.38253296092 -11.3807112328 0.0500690690013, 0.328519626495 -0.133860506556 -0.933621608641
13117.5264623 -10.5421940052 2.38268594026 -11.3801509787 0.0500526368792, 0.328500559039 -0.133862201358 -0.933628955903
13117.5366629 -10.5423164844 2.38294117284 -11.3798158824 0.0500472096261, 0.328488480166 -0.133852168279 -0.933634935215
13117.5464672 -10.5420694927 2.38288890498 -11.3800248753 0.0500486494505, 0.328506117204 -0.13385493843 -0.933628255306
13117.5464672 -10.5420694927 2.38288890498 -11.3800248753 0.0500486494505, 0.328506117204 -0.13385493843 -0.933628255306
13117.5664673 -10.541553573 2.38265923276 -11.3805009713 0.0500522320914, 0.328529685277 -0.133865698782 -0.933618227459
13117.5766743 -10.5413304957 2.38260411785 -11.380668134 0.0500533538712, 0.328538196093 -0.133868807539 -0.933614726663
13117.5865215 -10.5425452204 2.38275261676 -11.3795381242 0.0500487514187, 0.328482323136 -0.133866713656 -0.933634933389
13117.5966781 -10.5413958942 2.38269264376 -11.3806239162 0.0500576423235, 0.328538321346 -0.133866967479 -0.933614716502
13117.606464 -10.5413412251 2.38257143863 -11.3806489769 0.0500613274124, 0.328540113018 -0.133871769605 -0.933613199852
13117.6166774 -10.541338058 2.38258503986 -11.3806026228 0.0500585769964, 0.328540461086 -0.133873467059 -0.933612981442
13117.626463 -10.5410551962 2.38265120284 -11.3808162023 0.0500583396561, 0.328552486033 -0.133871733244 -0.933609011091
13117.626463 -10.5410551962 2.38265120284 -11.3808162023 0.0500583396561, 0.328552486033 -0.133871733244 -0.933609011091
13117.6464631 -10.5414039733 2.38267332193 -11.3804646354 0.0500591611599, 0.328536080026 -0.133870065021 -0.933614979633
13117.6566823 -10.5409439078 2.38269306864 -11.3808327084 0.050057551618, 0.328554656895 -0.133871218625 -0.933608363171
13117.6664606 -10.5419889199 2.38257393789 -11.3798151863 0.0500537327206, 0.328504118468 -0.133878823387 -0.933625261354
13117.6766849 -10.5416680261 2.38268408691 -11.380051617 0.0500578133258, 0.328513792145 -0.133873144148 -0.933622453121
13117.6864633 -10.5408980228 2.38254467439 -11.3807691048 0.0500607584573, 0.328548033525 -0.133875491429 -0.933609909397
13117.6966829 -10.540872196 2.38249374716 -11.3807704779 0.0500604320624, 0.328550001346 -0.133879098773 -0.933608717113
13117.7064642 -10.5408886123 2.38245533492 -11.3807006673 0.0500568289699, 0.328548615788 -0.133883553339 -0.933608759108
13117.7166879 -10.5407663 2.38245379722 -11.3807569478 0.0500591501788, 0.328552949619 -0.1338837242 -0.933607085007
13117.7264606 -10.5407095107 2.38256100596 -11.3807375926 0.0500617967773, 0.328553482256 -0.133878766784 -0.933607466554
13117.7264606 -10.5407095107 2.38256100596 -11.3807375926 0.0500617967773, 0.328553482256 -0.133878766784 -0.933607466554
13117.7464641 -10.5408379651 2.38302784682 -11.380582045 0.0500620388127, 0.328547129344 -0.133860535856 -0.933612303374
13117.7566959 -10.540827481 2.38299380338 -11.3805609067 0.0500582542971, 0.328549108332 -0.133865144896 -0.933611149019
13117.7664632 -10.5405962522 2.38302519227 -11.3807234747 0.0500537517297, 0.328559421329 -0.133867190301 -0.933607467812
13117.776678 -10.540408787 2.38297043329 -11.3808396595 0.0500567635258, 0.328567088198 -0.13386973657 -0.933604243033
13117.7864616 -10.5414356267 2.38316774416 -11.3798695032 0.0500418775991, 0.32851787792 -0.133863597093 -0.933623238649
13117.7966941 -10.5408207145 2.38332570914 -11.380347248 0.0500371681106, 0.328549157036 -0.133860211643 -0.933612969574
13117.8064643 -10.5405577104 2.38340686672 -11.3805428593 0.0500336244609, 0.328561205666 -0.133859424813 -0.933609032167
13117.8166784 -10.5405109273 2.38335773478 -11.3805423884 0.0500333049105, 0.328563199065 -0.133862998385 -0.93360783538
13117.8264619 -10.5405425157 2.38325201265 -11.3804614544 0.050033822716, 0.328562583147 -0.133868730631 -0.933607202468
13117.8367139 -10.5403883843 2.38334728571 -11.3807746791 0.0500312703988, 0.328574116659 -0.133859134568 -0.933604656124
13117.8464635 -10.5407925857 2.38332939276 -11.380361243 0.0500338258049, 0.32855128647 -0.133859465855 -0.933612506255
13117.8566947 -10.5405906317 2.38327391476 -11.3805157074 0.0500369145153, 0.328563250367 -0.133861914574 -0.933607779274
13117.8664624 -10.5405034824 2.38322282185 -11.380553518 0.0500382416914, 0.328566815623 -0.13386481845 -0.933606037053
13117.8766939 -10.5405084545 2.3832593715 -11.380507438 0.0500452170189, 0.328563924468 -0.13386102737 -0.933607224235
